Number: Data    Where                           Num. of occurrences
11: 0858 0000    sample_course_data_24          1
11: 0850 0000    sample_course_data_33          2
11: 0c50 0000    sample_course_data_33          2
11: 0c48 0000    sample_course_data_33          1
11: 0848 0000    sample_course_data_33          1
11: 0858 0000    sample_course_data_33          1
11: 0c40 0000    sample_course_data_33          2
11: 0844 0000    sample_course_data_57          7
11: 0c46 0000    sample_course_data_68          1
11: 0840 0000    sample_course_data_69          1
11: 0850 0000    sample_course_data_72          1
11: 0858 0000    sample_course_data_72          1
11: 0840 0000    sample_course_data_72          2
11: 0848 0000    sample_course_data_72          1
11: 0840 0000    sample_course_data_79          3
11: 0c42 0000    sample_course_data_80          1
11: 085a 0000    sample_course_data_80          1
11: 0c40 0000    sample_course_data_95_sub      2
11: 0840 0000    sample_course_data_98          1
11: 0840 0000    tutorial_course_data_01        1
11: 0c44 0000    tutorial_course_data_07        1
11: 0c40 0000    tutorial_course_data_07        4
11: 0840 0000    tutorial_course_data_08        1
12: 0842 0000    sample_course_data_08_sub      1
12: 0842 0000    sample_course_data_08_sub_v32  1
12: 4a42 0000    sample_course_data_09          1
12: 4840 0000    sample_course_data_09_sub      3
12: 4840 0000    sample_course_data_09_sub_v32  3
12: 4a42 0000    sample_course_data_09_v32      1
12: 4840 0000    sample_course_data_12          1
12: 4840 0000    sample_course_data_12_sub      10
12: 5840 0000    sample_course_data_56          1
12: 1840 0000    sample_course_data_56          1
12: 0840 0000    tutorial_course_data_03        2
13: 0840 0000    sample_course_data_08          6
13: 0840 0000    sample_course_data_08_v32      6
13: 1844 0000    sample_course_data_09          3
13: 0844 0000    sample_course_data_09          2
13: 1844 0000    sample_course_data_09_v32      3
13: 0844 0000    sample_course_data_09_v32      2
13: 1840 0000    sample_course_data_11          8
13: 1844 0000    sample_course_data_11          6
13: 0840 0000    sample_course_data_11          6
13: 0844 0000    sample_course_data_11          4
13: 0844 0000    sample_course_data_12          8
13: 1840 0000    sample_course_data_12_sub      2
13: 0840 0000    sample_course_data_12_sub      6
13: 0844 0000    sample_course_data_12_sub      1
13: 1840 0000    sample_course_data_14          1
13: 1844 0000    sample_course_data_14          1
13: 0844 0000    sample_course_data_14_sub      3
13: 1844 0000    sample_course_data_32          1
13: 0840 0000    sample_course_data_33          1
13: 0840 0000    sample_course_data_37          15
13: 0844 0000    sample_course_data_37          2
13: 0a40 0000    sample_course_data_47          1
13: 0a44 0000    sample_course_data_47          2
13: 0840 0000    sample_course_data_71          3
13: 0c40 0000    sample_course_data_82_sub      2
13: 0840 0000    sample_course_data_93          4
13: 0840 0000    tutorial_course_data_02        2
14: 0840 0000    sample_course_data_08_sub      3
14: 0844 0000    sample_course_data_08_sub      4
14: 0840 0000    sample_course_data_08_sub_v32  3
14: 0844 0000    sample_course_data_08_sub_v32  4
14: 0840 0000    sample_course_data_09          1
14: 0840 0000    sample_course_data_09_sub      4
14: 0844 0000    sample_course_data_09_sub      10
14: 0840 0000    sample_course_data_09_sub_v32  4
14: 0844 0000    sample_course_data_09_sub_v32  10
14: 0840 0000    sample_course_data_09_v32      1
14: 0840 0000    sample_course_data_51          3
14: 0840 0000    sample_course_data_72          1
14: 0844 0000    sample_course_data_72          3
14: 0844 0000    sample_course_data_82_sub      1
14: 0840 0000    tutorial_course_data_06        3
14: 0844 0000    tutorial_course_data_06        1
15: 5844 0000    sample_course_data_08_sub      1
15: 5844 0000    sample_course_data_08_sub_v32  1
15: 0840 0000    sample_course_data_12_sub      1
15: 5840 0000    sample_course_data_56          1
15: 1840 0000    sample_course_data_56          1
15: 0840 0000    sample_course_data_96          1
15: 0840 0000    sample_course_data_96_sub      1
15: 0840 0000    tutorial_course_data_04        3
16: 0840 0000    sample_course_data_01          2
16: 0844 0000    sample_course_data_01          1
16: 0840 0000    sample_course_data_01_corrupt  2
16: 0844 0000    sample_course_data_01_corrupt  1
16: 0840 0000    sample_course_data_03          3
16: 0844 0000    sample_course_data_03          8
16: 0840 0000    sample_course_data_08_sub      1
16: 0840 0000    sample_course_data_08_sub_v32  1
16: 0840 0000    sample_course_data_09_sub      12
16: 0844 0000    sample_course_data_09_sub      21
16: 0840 0000    sample_course_data_09_sub_v32  12
16: 0844 0000    sample_course_data_09_sub_v32  21
16: 0840 0000    sample_course_data_11          1
16: 0840 0000    sample_course_data_12_sub      1
16: 0840 0000    sample_course_data_19          1
16: 0840 0000    sample_course_data_24          1
16: 0840 0000    sample_course_data_33          1
16: 0840 0000    sample_course_data_39          8
16: 0840 0000    sample_course_data_66          1
16: 0844 0000    sample_course_data_66          10
16: 0840 0000    sample_course_data_71          1
16: 0844 0000    sample_course_data_71          8
16: 0840 0000    sample_course_data_72          13
16: 0840 0000    sample_course_data_74          26
16: 0840 0000    sample_course_data_75_sub      34
16: 0840 0000    sample_course_data_84          5
16: 0844 0000    sample_course_data_84          4
16: 0840 0000    sample_course_data_95          1
16: 0844 0000    sample_course_data_95          4
16: 0840 0000    sample_course_data_97          8
16: 0844 0000    sample_course_data_97          4
16: 0840 0000    sample_course_data_99          1
16: 0844 0000    sample_course_data_99          1
16: 0840 0000    tutorial_course_data_02        3
16: 0844 0000    tutorial_course_data_02        6
16: 0840 0000    tutorial_course_data_04        3
16: 0840 0000    tutorial_course_data_08        4
16: 0844 0000    tutorial_course_data_08        1
17: 0840 0000    sample_course_data_31          1
17: 0840 0000    sample_course_data_33          1
17: 0840 0000    sample_course_data_56          5
17: 0840 0000    sample_course_data_65          2
17: 0840 0000    sample_course_data_68          2
17: 0840 0000    sample_course_data_75_sub      1
17: 0840 0000    sample_course_data_84          2
17: 0840 0000    sample_course_data_88          1
17: 0840 0000    tutorial_course_data_04        3
17: 0840 0000    tutorial_course_data_05        1
18: 0840 0000    sample_course_data_12          3
18: 0801 0000    sample_course_data_12          1
18: 0841 0000    sample_course_data_14          1
18: 0861 0000    sample_course_data_14          1
18: 0840 0000    sample_course_data_14          1
18: 0841 0000    sample_course_data_19          1
18: 0861 0000    sample_course_data_19          1
18: 0840 0000    sample_course_data_33          1
18: 0840 0000    sample_course_data_58          1
18: 0840 0000    sample_course_data_71          1
18: 0840 0000    sample_course_data_77_sub      1
18: 0861 0000    sample_course_data_88          1
18: 0821 0000    sample_course_data_88_sub      1
18: 0861 0000    sample_course_data_88_sub      1
18: 0840 0000    sample_course_data_99          1
18: 0840 0000    tutorial_course_data_05        1
19: 0840 0000    sample_course_data_12          1
19: 0861 0000    sample_course_data_62          2
19: 0841 0000    sample_course_data_77          2
19: 0840 0000    sample_course_data_77          4
19: 0840 0000    sample_course_data_96          3
19: 0840 0000    tutorial_course_data_04        1
20: 0840 0000    sample_course_data_12          1
20: 0801 0000    sample_course_data_12_sub      1
20: 0841 0000    sample_course_data_14          1
20: 0861 0000    sample_course_data_14          2
20: 0c40 0000    sample_course_data_37          2
20: 0c40 0000    sample_course_data_41          1
20: 0840 0000    sample_course_data_42          3
20: 0a40 0000    sample_course_data_47          1
20: 0c40 0000    sample_course_data_50          1
20: 0840 0000    sample_course_data_56          1
20: 0840 0000    sample_course_data_58          1
20: 0842 0000    sample_course_data_92          2
20: 0c40 0000    tutorial_course_data_07        1
21: 0842 0000    sample_course_data_12          1
21: 0c40 0000    sample_course_data_14          1
21: 0840 0000    sample_course_data_14          5
21: 0840 0000    sample_course_data_57          27
21: 0840 0000    sample_course_data_90          7
21: 0840 0000    tutorial_course_data_04        16
22: 0840 0000    sample_course_data_08          7
22: 0840 0000    sample_course_data_08_sub      3
22: 0840 0000    sample_course_data_08_sub_v32  3
22: 0840 0000    sample_course_data_08_v32      7
22: 0840 0000    sample_course_data_10          105
22: 0840 0000    sample_course_data_11_sub      59
22: 0840 0000    sample_course_data_15          107
22: 0840 0000    sample_course_data_28          86
22: 0840 0000    sample_course_data_51          43
22: 0840 0000    sample_course_data_68          76
22: 0840 0000    sample_course_data_74          20
22: 0840 0000    sample_course_data_92_sub      4
22: 0840 0000    sample_course_data_97          17
22: 0840 0000    sample_course_data_99          11
22: 0840 0000    tutorial_course_data_04        14
23: 0840 0000    sample_course_data_09_sub      25
23: 0840 0000    sample_course_data_09_sub_v32  25
23: 0840 0000    sample_course_data_12          31
23: 0840 0000    sample_course_data_15          4
23: 0840 0000    sample_course_data_33          7
23: 0840 0000    sample_course_data_74          2
23: 0840 0000    sample_course_data_79          7
23: 0840 0000    sample_course_data_80          5
23: 0840 0000    tutorial_course_data_03        19
24: 0848 238e    sample_course_data_08          1
24: 0848 638e    sample_course_data_08          1
24: 0848 4e38    sample_course_data_08          1
24: 0848 5555    sample_course_data_08          1
24: 0848 5c71    sample_course_data_08          1
24: 0848 31c7    sample_course_data_08          1
24: 0848 38e3    sample_course_data_08          1
24: 0848 6aaa    sample_course_data_08          1
24: 0848 3fff    sample_course_data_08          1
24: 0848 2aaa    sample_course_data_08          1
24: 0848 471c    sample_course_data_08          1
24: 0848 d555    sample_course_data_08_sub      1
24: 0848 0e38    sample_course_data_08_sub      1
24: 0848 e38e    sample_course_data_08_sub      1
24: 0848 d1c7    sample_course_data_08_sub      1
24: 0848 0000    sample_course_data_08_sub      1
24: 0848 f8e3    sample_course_data_08_sub      1
24: 0848 f1c7    sample_course_data_08_sub      1
24: 0848 3fff    sample_course_data_08_sub      1
24: 0848 1c71    sample_course_data_08_sub      1
24: 0848 238e    sample_course_data_08_sub      1
24: 0848 31c7    sample_course_data_08_sub      1
24: 0848 1555    sample_course_data_08_sub      1
24: 0848 071c    sample_course_data_08_sub      1
24: 0848 dc71    sample_course_data_08_sub      1
24: 0848 eaaa    sample_course_data_08_sub      1
24: 0848 2aaa    sample_course_data_08_sub      1
24: 0848 38e3    sample_course_data_08_sub      1
24: 0848 d555    sample_course_data_08_sub_v32  1
24: 0848 0e38    sample_course_data_08_sub_v32  1
24: 0848 e38e    sample_course_data_08_sub_v32  1
24: 0848 0000    sample_course_data_08_sub_v32  1
24: 0848 f8e3    sample_course_data_08_sub_v32  1
24: 0848 f1c7    sample_course_data_08_sub_v32  1
24: 0848 3fff    sample_course_data_08_sub_v32  1
24: 0848 1555    sample_course_data_08_sub_v32  1
24: 0848 ce38    sample_course_data_08_sub_v32  1
24: 0848 238e    sample_course_data_08_sub_v32  1
24: 0848 31c7    sample_course_data_08_sub_v32  1
24: 0848 1c71    sample_course_data_08_sub_v32  1
24: 0848 071c    sample_course_data_08_sub_v32  1
24: 0848 dc71    sample_course_data_08_sub_v32  1
24: 0848 eaaa    sample_course_data_08_sub_v32  1
24: 0848 2aaa    sample_course_data_08_sub_v32  1
24: 0848 38e3    sample_course_data_08_sub_v32  1
24: 0848 238e    sample_course_data_08_v32      1
24: 0848 638e    sample_course_data_08_v32      1
24: 0848 4e38    sample_course_data_08_v32      1
24: 0848 5555    sample_course_data_08_v32      1
24: 0848 5c71    sample_course_data_08_v32      1
24: 0848 31c7    sample_course_data_08_v32      1
24: 0848 38e3    sample_course_data_08_v32      1
24: 0848 6aaa    sample_course_data_08_v32      1
24: 0848 3fff    sample_course_data_08_v32      1
24: 0848 2aaa    sample_course_data_08_v32      1
24: 0848 471c    sample_course_data_08_v32      1
24: 0848 ffff    sample_course_data_14          2
24: 0848 0000    sample_course_data_14          2
24: 0840 0000    sample_course_data_14          1
24: 0840 271c    sample_course_data_33          1
24: 0848 1c71    sample_course_data_33          1
24: 0c40 bfff    sample_course_data_41          2
24: 0c40 3fff    sample_course_data_41          2
24: 0c40 ee38    sample_course_data_41          1
24: 0848 7fff    sample_course_data_69_sub      2
24: 0840 ffff    sample_course_data_69_sub      2
24: 0840 0000    sample_course_data_69_sub      1
24: 0848 238e    sample_course_data_98          1
24: 0848 0e38    sample_course_data_98          2
24: 0848 e38e    sample_course_data_98          1
24: 0848 0000    sample_course_data_98          11
24: 0848 f8e3    sample_course_data_98          2
24: 0c40 ffff    sample_course_data_98          1
24: 0840 f8e3    sample_course_data_98          1
24: 0840 0000    sample_course_data_98          1
24: 0848 f1c7    sample_course_data_98          2
24: 0848 1c71    sample_course_data_98          1
24: 0840 071c    sample_course_data_98          1
24: 0848 1555    sample_course_data_98          1
24: 0848 071c    sample_course_data_98          2
24: 0848 dc71    sample_course_data_98          1
24: 0848 eaaa    sample_course_data_98          1
24: 0840 11c7    tutorial_course_data_03        1
24: 0840 0000    tutorial_course_data_03        1
25: 4840 0000    sample_course_data_12          10
25: 0c44 0000    sample_course_data_12_sub      1
25: 5840 0000    sample_course_data_29          1
25: 1840 0000    sample_course_data_31          13
25: 5840 0000    sample_course_data_32          5
25: 5840 0000    sample_course_data_56          1
25: 1840 0000    sample_course_data_56          1
25: 0844 0000    sample_course_data_80          1
25: 0840 0000    sample_course_data_96          4
25: 0840 0000    sample_course_data_96_sub      7
25: 0840 0000    tutorial_course_data_01        4
26: 0840 0000    sample_course_data_01          1
26: 0840 0000    sample_course_data_01_corrupt  1
26: 0840 0000    sample_course_data_02          1
26: 0840 0000    sample_course_data_03          1
26: 0840 0000    sample_course_data_08          1
26: 0840 0000    sample_course_data_08_v32      1
26: 0840 0000    sample_course_data_09          1
26: 0840 0000    sample_course_data_09_v32      1
26: 0840 0000    sample_course_data_10          1
26: 0840 0000    sample_course_data_11          1
26: 0840 0000    sample_course_data_12          1
26: 0840 0000    sample_course_data_14          1
26: 0840 0000    sample_course_data_15          1
26: 0840 0000    sample_course_data_19          1
26: 0840 0000    sample_course_data_21          1
26: 0840 0000    sample_course_data_24          1
26: 0840 0000    sample_course_data_28          1
26: 0840 0000    sample_course_data_29          1
26: 0840 0000    sample_course_data_30          1
26: 0840 0000    sample_course_data_31          1
26: 0840 0000    sample_course_data_32          1
26: 0840 0000    sample_course_data_33          1
26: 0840 0000    sample_course_data_35          1
26: 0840 0000    sample_course_data_36          1
26: 0840 0000    sample_course_data_37          1
26: 0840 0000    sample_course_data_38          1
26: 0840 0000    sample_course_data_39          1
26: 0840 0000    sample_course_data_41          1
26: 0840 0000    sample_course_data_42          1
26: 0840 0000    sample_course_data_47          1
26: 0840 0000    sample_course_data_48          1
26: 0840 0000    sample_course_data_49          1
26: 0840 0000    sample_course_data_50          1
26: 0840 0000    sample_course_data_51          1
26: 0840 0000    sample_course_data_52          1
26: 0840 0000    sample_course_data_55          1
26: 0840 0000    sample_course_data_56          1
26: 0840 0000    sample_course_data_57          1
26: 0840 0000    sample_course_data_58          1
26: 0840 0000    sample_course_data_62          1
26: 0840 0000    sample_course_data_63          1
26: 0840 0000    sample_course_data_65          1
26: 0840 0000    sample_course_data_66          1
26: 0840 0000    sample_course_data_68          1
26: 0840 0000    sample_course_data_69          1
26: 0840 0000    sample_course_data_71          1
26: 0840 0000    sample_course_data_72          1
26: 0840 0000    sample_course_data_74          1
26: 0840 0000    sample_course_data_75          1
26: 0840 0000    sample_course_data_77          1
26: 0840 0000    sample_course_data_79          1
26: 0840 0000    sample_course_data_80          1
26: 0840 0000    sample_course_data_82          1
26: 0840 0000    sample_course_data_84          1
26: 0840 0000    sample_course_data_88          1
26: 0840 0000    sample_course_data_90          1
26: 0840 0000    sample_course_data_92          1
26: 0840 0000    sample_course_data_93          1
26: 0840 0000    sample_course_data_95          1
26: 0840 0000    sample_course_data_96          1
26: 0840 0000    sample_course_data_97          1
26: 0840 0000    sample_course_data_98          1
26: 0840 0000    sample_course_data_99          1
26: 0840 0000    tutorial_course_data_00        1
26: 0840 0000    tutorial_course_data_01        1
26: 0840 0000    tutorial_course_data_02        1
26: 0840 0000    tutorial_course_data_03        1
26: 0840 0000    tutorial_course_data_04        1
26: 0840 0000    tutorial_course_data_05        1
26: 0840 0000    tutorial_course_data_06        1
26: 0840 0000    tutorial_course_data_07        1
26: 0840 0000    tutorial_course_data_08        1
27: 0840 0000    sample_course_data_01          1
27: 0840 0000    sample_course_data_01_corrupt  1
27: 0840 0000    sample_course_data_02          1
27: 0840 0000    sample_course_data_03          1
27: 0840 0000    sample_course_data_08          1
27: 0840 0000    sample_course_data_08_v32      1
27: 0840 0000    sample_course_data_09          1
27: 0840 0000    sample_course_data_09_v32      1
27: 0840 0000    sample_course_data_10          1
27: 0840 0000    sample_course_data_11          1
27: 0840 0000    sample_course_data_12          1
27: 0840 0000    sample_course_data_14          1
27: 0840 0000    sample_course_data_15          1
27: 0840 0000    sample_course_data_19          1
27: 0840 0000    sample_course_data_21          1
27: 0840 0000    sample_course_data_24          1
27: 0840 0000    sample_course_data_28          1
27: 0840 0000    sample_course_data_29          1
27: 0840 0000    sample_course_data_30          1
27: 0840 0000    sample_course_data_31          1
27: 0840 0000    sample_course_data_32          1
27: 0840 0000    sample_course_data_33          1
27: 0840 0000    sample_course_data_35          1
27: 0840 0000    sample_course_data_36          1
27: 0840 0000    sample_course_data_37          1
27: 0840 0000    sample_course_data_38          1
27: 0840 0000    sample_course_data_39          1
27: 0840 0000    sample_course_data_41          1
27: 0840 0000    sample_course_data_42          1
27: 0840 0000    sample_course_data_47          1
27: 0840 0000    sample_course_data_48          1
27: 0840 0000    sample_course_data_49          1
27: 0840 0000    sample_course_data_50          1
27: 0840 0000    sample_course_data_51          1
27: 0840 0000    sample_course_data_52          1
27: 0840 0000    sample_course_data_55          1
27: 0840 0000    sample_course_data_56          1
27: 0840 0000    sample_course_data_57          1
27: 0840 0000    sample_course_data_58          1
27: 0840 0000    sample_course_data_62          1
27: 0840 0000    sample_course_data_63          1
27: 0840 0000    sample_course_data_65          1
27: 0840 0000    sample_course_data_66          1
27: 0840 0000    sample_course_data_68          1
27: 0840 0000    sample_course_data_69          1
27: 0840 0000    sample_course_data_71          1
27: 0840 0000    sample_course_data_72          1
27: 0840 0000    sample_course_data_74          1
27: 0840 0000    sample_course_data_75          1
27: 0840 0000    sample_course_data_77          1
27: 0840 0000    sample_course_data_79          1
27: 0840 0000    sample_course_data_80          1
27: 0840 0000    sample_course_data_82          1
27: 0840 0000    sample_course_data_84          1
27: 0840 0000    sample_course_data_88          1
27: 0840 0000    sample_course_data_90          1
27: 0840 0000    sample_course_data_92          1
27: 0840 0000    sample_course_data_93          1
27: 0840 0000    sample_course_data_95          1
27: 0840 0000    sample_course_data_96          1
27: 0840 0000    sample_course_data_97          1
27: 0840 0000    sample_course_data_98          1
27: 0840 0000    sample_course_data_99          1
27: 0840 0000    tutorial_course_data_00        1
27: 0840 0000    tutorial_course_data_01        1
27: 0840 0000    tutorial_course_data_02        1
27: 0840 0000    tutorial_course_data_03        1
27: 0840 0000    tutorial_course_data_04        1
27: 0840 0000    tutorial_course_data_05        1
27: 0840 0000    tutorial_course_data_06        1
27: 0840 0000    tutorial_course_data_07        1
27: 0840 0000    tutorial_course_data_08        1
28: 4861 0000    sample_course_data_09          1
28: 4861 0000    sample_course_data_09_v32      1
28: 0844 0000    sample_course_data_10          1
28: 4840 0000    sample_course_data_12          1
28: 4842 0000    sample_course_data_12_sub      1
28: 0842 0000    sample_course_data_12_sub      18
28: 0842 0000    sample_course_data_14_sub      1
28: 0844 0000    sample_course_data_14_sub      1
28: 0840 0000    sample_course_data_15          9
28: 0844 0000    sample_course_data_15          3
28: 5840 0000    sample_course_data_29          1
28: 0c44 0000    sample_course_data_37          3
28: 0840 0000    sample_course_data_37          5
28: 5840 0000    sample_course_data_56          1
28: 1840 0000    sample_course_data_56          1
28: 0840 0000    sample_course_data_69          2
28: 0844 0000    sample_course_data_71          7
28: 0840 0000    tutorial_course_data_03        3
29: 0840 0000    sample_course_data_01          1
29: 0840 0000    sample_course_data_01_corrupt  1
29: 0840 0000    sample_course_data_03_sub      1
29: 0840 0000    sample_course_data_14          19
29: 0840 0000    sample_course_data_28          9
29: 0840 0000    sample_course_data_41          1
29: 0840 0000    sample_course_data_51          7
29: 0840 0000    sample_course_data_63          1
29: 0840 0000    sample_course_data_68          1
29: 0840 0000    sample_course_data_69          1
29: 0840 0000    sample_course_data_75_sub      4
29: 0840 0000    sample_course_data_77          14
29: 0840 0000    sample_course_data_79_sub      1
29: 0840 0000    sample_course_data_82          1
29: 0840 0000    sample_course_data_92          1
29: 0840 0000    sample_course_data_93          1
29: 0840 0000    tutorial_course_data_05        14
29: 0840 0000    tutorial_course_data_08        1
30: 0840 0000    sample_course_data_11_sub      20
30: 0840 0000    sample_course_data_63          13
30: 0840 0000    tutorial_course_data_01        1
31: 0840 0000    sample_course_data_08          1
31: 0840 0000    sample_course_data_08_v32      1
31: 08c0 0000    sample_course_data_11_sub      20
31: 08c0 0000    sample_course_data_63          13
31: 08c0 0000    tutorial_course_data_01        1
33: 0c40 0000    sample_course_data_37          1
33: 0c40 0000    sample_course_data_41          1
33: 0840 0000    sample_course_data_42          1
33: 0840 0000    sample_course_data_58          1
33: 0c40 0000    tutorial_course_data_07        1
34: 0840 0000    sample_course_data_09_sub      2
34: 0840 0000    sample_course_data_09_sub_v32  2
34: 0840 0000    sample_course_data_12_sub      1
34: 0841 0000    sample_course_data_14          1
34: 0841 0000    sample_course_data_14_sub      1
35: 0840 0000    sample_course_data_56          1
36: 0840 0000    sample_course_data_02          64
36: 0c44 0000    sample_course_data_12_sub      1
36: 0c44 0000    sample_course_data_14          1
36: 0844 0000    sample_course_data_14          1
36: 0c44 0000    sample_course_data_80          2
36: 0840 0000    sample_course_data_80          1
36: 0c44 0000    sample_course_data_90          3
36: 0840 0000    tutorial_course_data_03        1
37: 0840 0000    sample_course_data_01          1
37: 0840 0000    sample_course_data_01_corrupt  1
37: 0840 0000    sample_course_data_02          1
37: 0840 0000    sample_course_data_03          1
37: 0840 0000    sample_course_data_08          1
37: 0840 0000    sample_course_data_08_v32      1
37: 0840 0000    sample_course_data_09          1
37: 0840 0000    sample_course_data_09_v32      1
37: 0840 0000    sample_course_data_10          1
37: 0840 0000    sample_course_data_11          1
37: 0840 0000    sample_course_data_12          1
37: 0840 0000    sample_course_data_14          1
37: 0840 0000    sample_course_data_15          1
37: 0840 0000    sample_course_data_19          1
37: 0840 0000    sample_course_data_21          1
37: 0840 0000    sample_course_data_24          1
37: 0840 0000    sample_course_data_28          1
37: 0840 0000    sample_course_data_29          1
37: 0840 0000    sample_course_data_30          1
37: 0840 0000    sample_course_data_31          1
37: 0840 0000    sample_course_data_32          1
37: 0840 0000    sample_course_data_33          1
37: 0840 0000    sample_course_data_35          1
37: 0840 0000    sample_course_data_36          1
37: 0840 0000    sample_course_data_37          1
37: 0840 0000    sample_course_data_38          1
37: 0840 0000    sample_course_data_39          1
37: 0840 0000    sample_course_data_41          1
37: 0840 0000    sample_course_data_42          1
37: 0840 0000    sample_course_data_47          1
37: 0840 0000    sample_course_data_48          1
37: 0840 0000    sample_course_data_49          1
37: 0840 0000    sample_course_data_50          1
37: 0840 0000    sample_course_data_51          1
37: 0840 0000    sample_course_data_52          1
37: 0840 0000    sample_course_data_55          1
37: 0840 0000    sample_course_data_56          1
37: 0840 0000    sample_course_data_57          1
37: 0840 0000    sample_course_data_58          1
37: 0840 0000    sample_course_data_62          1
37: 0840 0000    sample_course_data_63          1
37: 0840 0000    sample_course_data_65          1
37: 0840 0000    sample_course_data_66          1
37: 0840 0000    sample_course_data_68          1
37: 0840 0000    sample_course_data_69          1
37: 0840 0000    sample_course_data_71          1
37: 0840 0000    sample_course_data_72          1
37: 0840 0000    sample_course_data_74          1
37: 0840 0000    sample_course_data_75          1
37: 0840 0000    sample_course_data_77          1
37: 0840 0000    sample_course_data_79          1
37: 0840 0000    sample_course_data_80          1
37: 0840 0000    sample_course_data_82          1
37: 0840 0000    sample_course_data_84          1
37: 0840 0000    sample_course_data_88          1
37: 0840 0000    sample_course_data_90          1
37: 0840 0000    sample_course_data_92          1
37: 0840 0000    sample_course_data_93          1
37: 0840 0000    sample_course_data_95          1
37: 0840 0000    sample_course_data_96          1
37: 0840 0000    sample_course_data_97          1
37: 0840 0000    sample_course_data_98          1
37: 0840 0000    sample_course_data_99          1
37: 0840 0000    tutorial_course_data_00        1
37: 0840 0000    tutorial_course_data_01        1
37: 0840 0000    tutorial_course_data_02        1
37: 0840 0000    tutorial_course_data_03        1
37: 0840 0000    tutorial_course_data_04        1
37: 0840 0000    tutorial_course_data_05        1
37: 0840 0000    tutorial_course_data_06        1
37: 0840 0000    tutorial_course_data_07        1
37: 0840 0000    tutorial_course_data_08        1
38: 0840 0000    sample_course_data_01          1
38: 0840 0000    sample_course_data_01_corrupt  1
38: 0840 0000    sample_course_data_02          1
38: 0840 0000    sample_course_data_03          1
38: 0840 0000    sample_course_data_08          1
38: 0840 0000    sample_course_data_08_v32      1
38: 0840 0000    sample_course_data_09          1
38: 0840 0000    sample_course_data_09_v32      1
38: 0840 0000    sample_course_data_10          1
38: 0840 0000    sample_course_data_11          1
38: 0840 0000    sample_course_data_12          1
38: 0840 0000    sample_course_data_14          1
38: 0840 0000    sample_course_data_15          1
38: 0840 0000    sample_course_data_19          1
38: 0840 0000    sample_course_data_21          1
38: 0840 0000    sample_course_data_24          1
38: 0840 0000    sample_course_data_28          1
38: 0840 0000    sample_course_data_29          1
38: 0840 0000    sample_course_data_30          1
38: 0840 0000    sample_course_data_31          1
38: 0840 0000    sample_course_data_32          1
38: 0840 0000    sample_course_data_33          1
38: 0840 0000    sample_course_data_35          1
38: 0840 0000    sample_course_data_36          1
38: 0840 0000    sample_course_data_37          1
38: 0840 0000    sample_course_data_38          1
38: 0840 0000    sample_course_data_39          1
38: 0840 0000    sample_course_data_41          1
38: 0840 0000    sample_course_data_42          1
38: 0840 0000    sample_course_data_47          1
38: 0840 0000    sample_course_data_48          1
38: 0840 0000    sample_course_data_49          1
38: 0840 0000    sample_course_data_50          1
38: 0840 0000    sample_course_data_51          1
38: 0840 0000    sample_course_data_52          1
38: 0840 0000    sample_course_data_55          1
38: 0840 0000    sample_course_data_56          1
38: 0840 0000    sample_course_data_57          1
38: 0840 0000    sample_course_data_58          1
38: 0840 0000    sample_course_data_62          1
38: 0840 0000    sample_course_data_63          1
38: 0840 0000    sample_course_data_65          1
38: 0840 0000    sample_course_data_66          1
38: 0840 0000    sample_course_data_68          1
38: 0840 0000    sample_course_data_69          1
38: 0840 0000    sample_course_data_71          1
38: 0840 0000    sample_course_data_72          1
38: 0840 0000    sample_course_data_74          1
38: 0840 0000    sample_course_data_75          1
38: 0840 0000    sample_course_data_77          1
38: 0840 0000    sample_course_data_79          1
38: 0840 0000    sample_course_data_80          1
38: 0840 0000    sample_course_data_82          1
38: 0840 0000    sample_course_data_84          1
38: 0840 0000    sample_course_data_88          1
38: 0840 0000    sample_course_data_90          1
38: 0840 0000    sample_course_data_92          1
38: 0840 0000    sample_course_data_93          1
38: 0840 0000    sample_course_data_95          1
38: 0840 0000    sample_course_data_96          1
38: 0840 0000    sample_course_data_97          1
38: 0840 0000    sample_course_data_98          1
38: 0840 0000    sample_course_data_99          1
38: 0840 0000    tutorial_course_data_00        1
38: 0840 0000    tutorial_course_data_01        1
38: 0840 0000    tutorial_course_data_02        1
38: 0840 0000    tutorial_course_data_03        1
38: 0840 0000    tutorial_course_data_04        1
38: 0840 0000    tutorial_course_data_05        1
38: 0840 0000    tutorial_course_data_06        1
38: 0840 0000    tutorial_course_data_07        1
38: 0840 0000    tutorial_course_data_08        1
39: 4840 0000    sample_course_data_09_sub      1
39: 4840 0000    sample_course_data_09_sub_v32  1
39: 1840 0000    sample_course_data_12_sub      2
39: 5840 0000    sample_course_data_56          1
39: 1840 0000    sample_course_data_56          1
39: 0840 0000    tutorial_course_data_05        1
40: 0840 0000    sample_course_data_08_sub      1
40: 0844 0000    sample_course_data_08_sub      1
40: 0840 0000    sample_course_data_08_sub_v32  1
40: 0844 0000    sample_course_data_08_sub_v32  1
40: 0865 0000    sample_course_data_09_sub      1
40: 0861 0000    sample_course_data_09_sub      1
40: 0865 0000    sample_course_data_09_sub_v32  1
40: 0861 0000    sample_course_data_09_sub_v32  1
40: 4840 0000    sample_course_data_12          1
